categoria,nombre,marca,precio,imagen_url
motocicleta,La Yamaha YZF-R1 2026,YAMAHA,539999.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoWYFK1z0_5cTOsjsJAblmriIoUEIy6RFm5Q&s
motocicleta,Yamaha YZ125,YAMAHA,188990.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTEFqKD_F3iSYLTCrCQhAYnaAwwC9K1giFf3w&s
motocicleta,Kawasaki Ninja 300 ABS 2026,KAWASAKI,119990.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIVdIiDoYtIqfDGwoWVxiFBKnT-TMwuogzlA&s
motocicleta,Kawasaki Z900 ABS 2026,KAWASAKI,237990.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWBaf4V8JCNXnphup20GSelv4PDduer-Dgsw&s
motocicleta,Kawasaki Z400 ABS,KAWASAKI,151990.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPzBQGHcKRPO6QjJoEJthvpMqV5R9U9VgEcA&s
motocicleta,KLX110R 2026,KAWASAKI,66490.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUH6p675K_KEtw9s50hS-I1GUXJblVAT82BQ&s
motocicleta,KTM Duke 390 ABS,KTM,13900.00,https://images.ctfassets.net/8zlbnewncp6f/6W8GZIxs2xW9j7QMwwREze/cfd482dcf1673d1211b3dc275d8dcee1/KTM_DUKE_390_ABS__1___2_.jpg?w=500&h=500&fit=pad&fm=webp&q=95
motocicleta,Ktm 250 Duke,KTM,95900.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSE_I5CalmrakVRyier0IFIaqK52xpCwkdgfA&s
motocicleta,KTM 1290 Super Duke R,KTM,408900.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3xzsaLzUa6YkbJ52eXu9G9B2GDIepU6AazQ&s
motocicleta,KTM RC 390,KTM,138900.00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZvKmShgUR0NEB0Y3RT4g2WWNAXagPXQ783Q&s
accesorios,Casco Abatible Axxis Ghostfighter D-29 Negro Mate para Moto Talla L,AXXIS,3350.00,https://http2.mlstatic.com/D_NQ_NP_2X_985020-MLA107253550299_022026-F.webp
accesorios,Agv Pista Gp Rr Oro Edicion Talla S,AGV,30069.00,https://http2.mlstatic.com/D_NQ_NP_2X_881256-MLM110854965243_042026-F.webp
accesorios,Casco Agv Pista Gp Rr E2206 Mplk Carbon Gloss Agv - Oficial,AGV,33340.00,https://http2.mlstatic.com/D_NQ_NP_2X_623519-MLM111282673191_052026-F.webp
accesorios,Casco Moto Course Se Blanco Mica Dorada Cerrado Roda,RODA,1434.00,https://http2.mlstatic.com/D_NQ_NP_2X_734253-MLM106098185503_012026-F.webp
accesorios,"Casco Motocicleta Abatible,superficie Mate,hombres Y Mujeres",PUNKZZ,799.00,https://http2.mlstatic.com/D_NQ_NP_2X_967799-MLM81592547086_012025-F.webp
accesorios,Candado De Disco Onguard Boxer 8048c Para Moto Amarillo,ONGUARD,926.00,https://http2.mlstatic.com/D_NQ_NP_2X_638619-MLA99935873889_112025-F.webp
accesorios,Candado Disco Motocicleta Alarma 120db Recargable Ayla Home,AYLA,276.00,https://http2.mlstatic.com/D_NQ_NP_2X_908524-CBT111767397140_062026-F-candado-disco-motocicleta-alarma-120db-recargable-ayla-home.webp
accesorios,Candado De Disco Para Moto,AYLA,288.00,https://http2.mlstatic.com/D_NQ_NP_2X_877407-CBT111222583168_052026-F-candado-de-disco-para-moto.webp
accesorios,Traje Mono De Piel Motociclista Fusion Motoparts,HIGH PERFORMANCE LEATHER,12999.00,https://http2.mlstatic.com/D_NQ_NP_2X_857185-MLM112771578909_062026-F.webp
accesorios,Mono De Ciclismo Motocicletas Cuero Negro Dainese Avro,GENERIC,4666.00,https://http2.mlstatic.com/D_NQ_NP_2X_963341-CBT105975319429_012026-F-mono-de-ciclismo-motocicletas-cuero-negro-dainese-avro.webp
accesorios,Guantes Para Motocicleta De Piel Punkzz Hombre Y Mujer Hpz01,PUNKZZ,581.00,https://http2.mlstatic.com/D_NQ_NP_2X_801097-MLM82021199538_022025-F.webp
accesorios,Guantes Para Moto Motociclista Punkzz Mujer Y Hombre Pz05,PUNKZZ,211.00,https://http2.mlstatic.com/D_NQ_NP_2X_924732-MLM93515372785_092025-F.webp
